Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T23:02:58.222-0600,21,20,18,20,47.1,23.4
2016-08-23T23:03:04.023-0600,21,20,18,20,47.3,23.4
2016-08-23T23:03:09.824-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:15.625-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:21.426-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:27.227-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:33.028-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:38.843-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:44.649-0600,21,20,18,20,46.4,23.4
2016-08-23T23:03:50.455-0600,21,20,18,20,47.2,23.4
2016-08-23T23:03:56.256-0600,21,20,18,20,47.1,23.4
2016-08-23T23:04:02.057-0600,21,20,18,20,47.2,23.4
2016-08-23T23:04:07.858-0600,21,20,18,20,47.1,23.4
2016-08-23T23:04:13.659-0600,21,20,18,20,47.1,23.4
2016-08-23T23:04:19.460-0600,21,20,18,20,47.1,23.4
2016-08-23T23:04:25.261-0600,21,20,18,20,47.3,23.4
2016-08-23T23:04:31.062-0600,21,20,18,20,47.3,23.4
2016-08-23T23:04:36.872-0600,21,20,18,20,47.1,23.4
2016-08-23T23:04:42.678-0600,21,20,18,20,47.2,23.4
2016-08-23T23:04:48.479-0600,21,20,18,20,47.2,23.4
2016-08-23T23:04:54.280-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:00.081-0600,21,20,18,20,47.2,23.4
2016-08-23T23:05:05.882-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:11.683-0600,21,20,18,20,47.2,23.4
2016-08-23T23:05:17.485-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:23.286-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:29.101-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:34.906-0600,21,20,18,20,46.4,23.5
2016-08-23T23:05:40.712-0600,21,20,18,20,47.2,23.5
2016-08-23T23:05:46.513-0600,21,20,18,20,47.2,23.5
2016-08-23T23:05:52.314-0600,21,20,18,20,47.3,23.5
2016-08-23T23:05:58.115-0600,21,20,18,20,47.3,23.5
2016-08-23T23:06:03.916-0600,21,20,18,20,47.4,23.5
2016-08-23T23:06:09.717-0600,21,20,18,20,47.3,23.5
2016-08-23T23:06:15.518-0600,21,20,18,20,47.1,23.5
2016-08-23T23:06:21.319-0600,21,20,18,20,47,23.5
2016-08-23T23:06:27.129-0600,21,20,18,20,46.9,23.5
2016-08-23T23:06:32.935-0600,21,20,17,21,46.9,23.5
2016-08-23T23:06:38.736-0600,21,20,17,21,47.2,23.6
2016-08-23T23:06:44.537-0600,21,20,17,21,47.1,23.6
2016-08-23T23:06:50.338-0600,21,20,17,21,47,23.6
2016-08-23T23:06:56.139-0600,20,21,17,21,46.8,23.6
2016-08-23T23:07:01.940-0600,20,21,17,21,46.7,23.6
2016-08-23T23:07:08.841-0600,20,21,17,21,ERROR,ERROR
2016-08-23T23:07:14.641-0600,20,21,17,21,46.8,23.6
2016-08-23T23:07:20.456-0600,20,21,17,21,46.7,23.6
2016-08-23T23:07:26.261-0600,20,21,17,21,46.7,23.7
2016-08-23T23:07:32.062-0600,20,21,17,21,46.7,23.7
2016-08-23T23:07:37.864-0600,20,21,17,21,46.7,23.7
2016-08-23T23:07:43.665-0600,20,21,17,21,46.7,23.7
2016-08-23T23:07:49.466-0600,20,21,17,21,47,23.7
2016-08-23T23:07:55.267-0600,20,21,17,21,46.9,23.7
2016-08-23T23:08:01.068-0600,20,21,17,21,46.7,23.7
2016-08-23T23:08:06.869-0600,20,21,17,21,46.5,23.7
2016-08-23T23:08:12.670-0600,20,21,17,21,46.5,23.7
2016-08-23T23:08:18.476-0600,20,21,17,21,46.5,23.8
2016-08-23T23:08:24.281-0600,20,21,17,21,46.4,23.8
2016-08-23T23:08:30.082-0600,20,21,17,21,46.6,23.8
2016-08-23T23:08:35.883-0600,20,21,17,21,46.8,23.8
2016-08-23T23:08:41.684-0600,20,21,17,21,46.8,23.8
2016-08-23T23:08:47.485-0600,20,21,17,21,46.8,23.8
2016-08-23T23:08:53.287-0600,20,21,17,21,46.9,23.8
2016-08-23T23:08:59.088-0600,20,21,17,21,46.8,23.8
2016-08-23T23:09:04.889-0600,20,21,17,21,46.7,23.8
2016-08-23T23:09:10.703-0600,20,21,17,21,46.5,23.8
2016-08-23T23:09:16.509-0600,20,21,17,21,46.4,23.8
2016-08-23T23:09:22.315-0600,20,21,17,21,46.3,23.8
2016-08-23T23:09:28.116-0600,20,21,17,21,46.4,23.8
2016-08-23T23:09:33.917-0600,20,21,17,21,46.3,23.9
2016-08-23T23:09:39.718-0600,20,21,17,21,46.1,23.9
2016-08-23T23:09:45.519-0600,20,21,17,21,46,23.9
2016-08-23T23:09:51.320-0600,20,21,17,21,45.9,23.9
